カードID=01100410CA138C1D
利用年月日,定期,鉄道会社名,入場駅/事業者名,定期,鉄道会社名,出場駅/降車場所,利用額(円),残額(円),メモ
2018/06/07,,メトロ,秋葉原,,東武,五反野,339,716,
2018/06/07,,JR東,神田,,JR東,秋葉原,133,1055,
2018/06/07,,JR東,大宮,,JR東,神田,464,1188,
2018/06/07,,東武,北大宮,,東武,大宮,144,1652,
2018/06/07,,東武,北大宮,,,,-1000,1796,現金ﾁｬｰｼﾞ
2018/06/03,,東武,栃木,,東武,五反野,885,796,
2018/06/03,,東武,栃木,,,,-1000,1681,現金ﾁｬｰｼﾞ
2018/06/01,○,東武,春日部,,東武,栃木,720,681,
2018/06/01,,東武,栃木,,,,-1000,1401,現金ﾁｬｰｼﾞ
2018/05/27,,東武,栃木,○,東武,春日部,720,401,
2018/05/27,,東武,栃木,,,,-1000,1121,現金ﾁｬｰｼﾞ
2018/05/25,○,東武,春日部,,東武,栃木,720,121,
2018/05/20,,東武,栃木,○,東武,春日部,720,841,
2018/05/20,,東武,栃木,,,,-1000,1561,現金ﾁｬｰｼﾞ
2018/05/18,○,東武,春日部,,東武,栃木,720,561,
2018/05/18,,東武,栃木,,,,-1000,1281,現金ﾁｬｰｼﾞ
2018/05/13,,東武,栃木,○,東武,春日部,720,281,
2018/05/13,,東武,栃木,,,,-1000,1001,現金ﾁｬｰｼﾞ
2018/05/12,○,東武,春日部,,東武,栃木,720,1,
2018/05/12,,東武,栃木,,,,-140,721,現金ﾁｬｰｼﾞ
2018/05/06,,東武,栃木,○,東武,春日部,720,581,
2018/05/06,,東武,五反野,,,,-1000,1301,現金ﾁｬｰｼﾞ
2018/05/03,○,東武,春日部,,東武,栃木,720,301,
2018/05/03,,東武,五反野,,,,-1000,1021,現金ﾁｬｰｼﾞ
2018/04/29,,東武,栃木,○,東武,春日部,720,21,
2018/04/28,○,東武,春日部,,東武,栃木,720,741,
2018/04/28,,東武,栃木,,,,-1000,1461,現金ﾁｬｰｼﾞ
2018/04/25,,東武,大宮,○,東武,北大宮,144,461,
2018/04/25,,東武,北大宮,,東武,大宮,144,605,
2018/04/22,,東武,栃木,○,東武,春日部,720,749,
2018/04/22,,東武,栃木,,,,-1000,1469,現金ﾁｬｰｼﾞ
2018/04/21,○,東武,春日部,,東武,栃木,720,469,
2018/04/21,,東武,栃木,,,,-1000,1189,現金ﾁｬｰｼﾞ
2018/04/18,,東武,大宮,○,東武,北大宮,144,189,
2018/04/18,,東武,北大宮,,東武,大宮,144,333,
2018/04/15,,東武,栃木,○,東武,春日部,720,477,
2018/04/15,,東武,栃木,,,,-1000,1197,現金ﾁｬｰｼﾞ
2018/04/13,○,東武,春日部,,東武,栃木,720,197,
2018/04/08,,東武,栃木,○,東武,春日部,720,917,
2018/04/08,,東武,栃木,,,,-1000,1637,現金ﾁｬｰｼﾞ
2018/04/06,○,東武,春日部,,東武,栃木,720,637,
